"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1724432814.805;"2024-08-23 19:06:54.805 UTC+02:00"
"PAUSE";1.745817579E2;1724432989.386;"2024-08-23 19:09:49.386 UTC+02:00"
