"Time (s)";"Peak-Frequency"
2,590089072E1;9,928988456E0
2,605243671E1;9,928970000E0
2,616611134E1;9,928956679E0
2,629989921E1;9,928949884E0
2,643968598E1;9,928944106E0
2,656412150E1;1,323858016E1
2,670483296E1;1,158375633E1
2,684402780E1;1,323859014E1
2,698527030E1;9,928926184E0
2,712648895E1;1,158372724E1
2,726550452E1;1,158370315E1
2,740591343E1;1,158369123E1
2,754806520E1;1,158365347E1
2,768633634E1;9,928808062E0
2,782886619E1;1,158358837E1
2,796674171E1;1,158358182E1
2,811936650E1;1,323835062E1
2,825397494E1;9,928741459E0
2,839103540E1;1,158350256E1
2,852827374E1;1,158348957E1
2,866570843E1;1,158344426E1
2,880659577E1;1,158343553E1
2,894496973E1;1,158341168E1
2,908464473E1;1,158339203E1
2,922531093E1;1,820248319E1
2,936523218E1;1,820242601E1
2,950581608E1;1,820240806E1
2,964536926E1;3,805947509E1
2,978717462E1;1,323807879E1
2,992569473E1;1,323807901E1
3,006890306E1;1,323805946E1
3,020482160E1;1,489280101E1
3,034415785E1;1,489280189E1
3,048481931E1;2,151181974E1
3,062568468E1;2,151180594E1
3,076398619E1;2,151173629E1
3,090466624E1;1,489271844E1
3,104643061E1;1,489271026E1
3,118018952E1;2,316642170E1
3,131837910E1;1,489267920E1
3,145193457E1;1,489266267E1
3,158797285E1;1,489265625E1
3,172777801E1;1,489264727E1
3,186615879E1;1,654737614E1
3,200532108E1;1,654734573E1
3,214549744E1;1,654732148E1
3,228667863E1;9,928373526E0
3,242874118E1;9,928350150E0
3,256622056E1;9,928341164E0
3,270623244E1;9,928349294E0
3,284496593E1;9,928338810E0
3,298485718E1;9,928342341E0
3,312494827E1;8,273625126E0
3,326525374E1;8,273622896E0
3,339964796E1;9,928363470E0
3,353274290E1;9,928375237E0
3,366941087E1;9,928370852E0
3,380726811E1;9,928385401E0
3,394688056E1;9,928409206E0
3,409783681E1;9,928472488E0
3,423133749E1;9,928495223E0
3,436819770E1;9,928534914E0
3,451165738E1;9,928549198E0
3,462551561E1;9,928567546E0
3,476503691E1;9,928609593E0
3,490555905E1;9,928651158E0
3,504621473E1;9,928707810E0
3,518469389E1;1,158356035E1
3,532505092E1;1,158363125E1
3,546387853E1;1,158369510E1
3,560374775E1;2,151266111E1
3,574203566E1;9,928962937E0
3,588259660E1;9,928987654E0
3,602353530E1;1,158387242E1
3,616546613E1;1,158393671E1
3,631765660E1;1,158399800E1
3,644924670E1;1,158401198E1
3,658717290E1;1,158405873E1
3,672176269E1;1,158409456E1
3,686077894E1;1,158414724E1
3,700368624E1;1,158422034E1
3,712237181E1;9,929355310E0
3,726194098E1;9,929407957E0
3,740066811E1;1,158435273E1
3,753406478E1;1,158439399E1
3,766953009E1;1,158443843E1
3,780260311E1;1,158448263E1
3,794161342E1;9,929599824E0
3,809642045E1;1,323952536E1
3,821113280E1;1,323956916E1
3,833294441E1;1,323963765E1
3,846921222E1;1,323968046E1
3,860802696E1;1,323975765E1
3,874607222E1;1,323984184E1
3,888254582E1;1,323989898E1
3,902564129E1;1,158498091E1
3,916621655E1;9,930018307E0
3,930483285E1;9,930053250E0
3,944833577E1;9,930064111E0
3,958653379E1;9,930084766E0
3,972304394E1;1,158514053E1
3,983898181E1;1,158519148E1
3,997098498E1;1,158520072E1
4,010845181E1;1,158522350E1
4,024622316E1;1,324030795E1
4,038474462E1;1,489537967E1
4,052523327E1;1,489543273E1
4,066392545E1;1,489548193E1
4,080419790E1;1,489555024E1
4,094516222E1;1,489557866E1
4,108447842E1;1,489560908E1
4,122522066E1;1,489565596E1
4,136774394E1;1,489568879E1
4,150717926E1;1,489570990E1
4,164743514E1;1,489571640E1
4,178561946E1;1,489570549E1
4,192303655E1;1,489574233E1
4,207097936E1;1,158559360E1
4,218566675E1;1,158559766E1
4,232414498E1;1,158557756E1
4,246382769E1;1,158557962E1
4,260131394E1;1,489577837E1
4,274148967E1;9,930503344E0
4,288171702E1;1,489575140E1
4,302247061E1;1,489573045E1
4,316568019E1;1,324064701E1
4,330556254E1;1,324065065E1
4,344634670E1;1,324065100E1
4,358624337E1;1,324064308E1
4,372632446E1;1,324056288E1
4,386582847E1;1,324053812E1
4,400761535E1;1,324050523E1
4,415703821E1;1,324048247E1
4,428852389E1;1,324046577E1
4,442764774E1;1,324040070E1
4,456934498E1;1,324035154E1
4,470622082E1;1,324031744E1
4,484603863E1;1,324025593E1
4,498656233E1;1,158517212E1
4,512557441E1;1,324018337E1
4,526652290E1;1,324015062E1
4,540637014E1;1,324011673E1
4,554721457E1;1,489508212E1
4,568577743E1;1,158500937E1
4,582694087E1;1,158496224E1
4,596676321E1;1,158491854E1
4,612521602E1;1,158488770E1
4,626172019E1;1,158485337E1
4,640285009E1;1,158480792E1
4,654498071E1;1,158476004E1
4,668412076E1;1,158471310E1
4,682490201E1;1,158468332E1
4,696475837E1;1,158465286E1
4,710478404E1;1,158462520E1
4,724527467E1;1,158457776E1
4,738779358E1;1,158453999E1
4,752715201E1;1,158452764E1
4,766567493E1;1,158448438E1
4,780531274E1;1,158443282E1
4,794833644E1;1,158439461E1
4,806762795E1;1,158433569E1
4,819604290E1;1,158429749E1
4,832989649E1;1,158428154E1
4,846727889E1;9,929351001E0
4,860733134E1;9,929317455E0
4,874646910E1;9,929286423E0
4,888587092E1;9,929266200E0
4,902490993E1;9,929253253E0
4,916565196E1;9,929229444E0
4,930088764E1;9,929223238E0
4,944079389E1;9,929193117E0
4,957915571E1;9,929152082E0
4,971310837E1;8,274282345E0
4,984990149E1;8,274248908E0
4,998718248E1;1,820329385E1
5,012268284E1;1,820321970E1
5,027133535E1;1,820313064E1
5,038604654E1;1,820308905E1
5,052637279E1;9,928918772E0
5,066598383E1;9,928879559E0
