"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.688728200E-1;-5.410663486E-1;2.599991322E0;8.501444817E0;8.906585857E0
1.712289140E-1;-8.618755341E-1;2.719696283E0;8.783948898E0;9.235655665E0
1.735843830E-1;-9.217280149E-1;2.880100727E0;9.279526711E0;9.759824727E0
1.759400080E-1;-8.068112731E-1;3.014170408E0;9.741587639E0;1.022911029E1
1.782950080E-1;-5.865542293E-1;3.026140928E0;9.961845398E0;1.042784438E1
1.806504240E-1;-2.872918546E-1;3.126693010E0;1.000733280E1;1.048834856E1
1.830064140E-1;7.900525630E-2;3.157816410E0;9.882840157E0;1.037538317E1
1.853623510E-1;2.274393886E-1;3.126693010E0;9.722434998E0;1.021536490E1
1.877175600E-1;7.900525630E-2;2.841795206E0;9.308256149E0;9.732711563E0
1.900734450E-1;-3.758735061E-1;2.353399038E0;8.690578461E0;9.011432844E0
1.924291740E-1;-5.913423896E-1;1.872185230E0;8.072900772E0;8.308218235E0
1.947855280E-1;-8.044171929E-1;1.582499266E0;7.804761887E0;8.004105138E0
1.971413100E-1;-1.120438218E0;1.601652145E0;7.847856045E0;8.087614969E0
1.994969350E-1;-1.211413980E0;1.599257946E0;7.919678688E0;8.169850692E0
2.018529240E-1;-1.067768097E0;1.644745827E0;8.288370132E0;8.517182456E0
2.042096950E-1;-7.996289730E-1;1.829091430E0;9.116727829E0;9.332722446E0
2.065653200E-1;-3.160210252E-1;1.965555072E0;1.009112644E1;1.028562632E1
2.089204760E-1;1.651928127E-1;2.027801752E0;1.097694302E1;1.116389478E1
2.112756850E-1;5.003666282E-1;2.219329596E0;1.177657223E1;1.199430882E1
2.136309450E-1;7.038650513E-1;2.334246397E0;1.211892796E1;1.236173722E1
2.159862580E-1;7.828702927E-1;2.451557159E0;1.207104588E1;1.234233231E1
2.183420390E-1;7.206237316E-1;2.623932362E0;1.169277859E1;1.200522348E1
2.206982890E-1;2.920800447E-1;2.899253607E0;1.115889454E1;1.153307893E1
2.230540700E-1;-2.274393886E-1;3.164998531E0;1.042869473E1;1.090076227E1
2.254095910E-1;-7.062591314E-1;3.399620295E0;9.521330833E0;1.013469096E1
2.277654760E-1;-9.289103150E-1;3.404408455E0;8.448774338E0;9.156126862E0
2.301209450E-1;-8.882106543E-1;3.121904850E0;7.244543076E0;7.938426320E0
2.324766740E-1;-7.038650513E-1;2.705331564E0;6.284509182E0;6.878175669E0
2.348319350E-1;-5.697954893E-1;2.418039799E0;5.946941376E0;6.444974406E0
2.371870390E-1;-5.674014091E-1;2.384522438E0;6.332391262E0;6.790218753E0
2.395427680E-1;-4.476964772E-1;2.394098759E0;6.947674751E0;7.362222861E0
2.418985490E-1;-2.322275788E-1;2.327064037E0;7.634780884E0;7.984925537E0
2.442546430E-1;-3.567207158E-1;2.190600395E0;8.518203735E0;8.802600447E0
2.466099560E-1;-8.594814539E-1;2.054136753E0;9.763134956E0;1.001383994E1
2.489649030E-1;-1.309571981E0;1.862608910E0;1.107749462E1;1.130907502E1
2.513203720E-1;-1.098891377E0;1.635169506E0;1.204471111E1;1.220476986E1
2.536760490E-1;-4.189672768E-1;1.505888104E0;1.250916576E1;1.260644520E1
2.560317260E-1;1.125226468E-1;1.390971422E0;1.239664364E1;1.247494434E1
2.583866220E-1;4.836079478E-1;1.410124183E0;1.174784279E1;1.184204953E1
2.607422990E-1;7.828702927E-1;1.608834386E0;1.085244942E1;1.099894960E1
2.630980810E-1;8.570873737E-1;1.936825871E0;1.012224960E1;1.034146171E1
2.654542780E-1;5.937365294E-1;2.391704798E0;9.518937111E0;9.832748274E0
2.678100600E-1;1.388577223E-1;2.631114483E0;8.953929901E0;9.333536605E0
2.701654760E-1;-3.375679255E-1;2.722090244E0;8.597208977E0;9.024174732E0
2.725209970E-1;-8.187817931E-1;2.841795206E0;8.743248940E0;9.229875711E0
2.748762060E-1;-1.046221137E0;3.009382248E0;9.234039307E0;9.768236386E0
2.772319350E-1;-8.546932936E-1;3.028534889E0;9.497389793E0;1.000514553E1
2.795874030E-1;-4.429082870E-1;3.109934330E0;9.624277115E0;1.012396016E1
2.819429760E-1;-1.292813420E-1;3.287097692E0;9.698493958E0;1.024121623E1
2.842987580E-1;2.872918546E-2;3.382861614E0;9.619488716E0;1.019701629E1
2.866544350E-1;1.436459273E-1;3.399620295E0;9.411202431E0;1.000743641E1
2.890097990E-1;1.987102032E-1;3.133875370E0;8.951535225E0;9.486339835E0
2.913649030E-1;-2.489862740E-1;2.774760485E0;8.513415337E0;8.957652070E0
2.937203200E-1;-7.900525928E-1;2.228905916E0;7.931649208E0;8.276669852E0
2.960760490E-1;-1.034250736E0;1.728539348E0;7.445647240E0;7.713312238E0
2.984308930E-1;-1.256901860E0;1.537011385E0;7.493529320E0;7.752108613E0
3.007865700E-1;-1.362242222E0;1.443641543E0;7.785609245E0;8.034644740E0
3.031429240E-1;-1.074950337E0;1.307177901E0;8.171059608E0;8.344486049E0
3.054991740E-1;-5.434604287E-1;1.206625819E0;8.786342621E0;8.885443813E0
3.078548510E-1;-1.197049394E-1;1.309571981E0;9.803834915E0;9.891637230E0
3.102102160E-1;3.830558062E-2;1.479553103E0;1.095300198E1;1.105254708E1
3.125657890E-1;2.705331743E-1;1.776421309E0;1.183881855E1;1.197440961E1
3.149215700E-1;6.081010699E-1;2.061319113E0;1.235354996E1;1.253909965E1
3.172771950E-1;6.871063709E-1;2.427616119E0;1.256183624E1;1.281269546E1
3.196329240E-1;4.022085965E-1;2.714908123E0;1.235833836E1;1.265942435E1
3.219890700E-1;4.309377819E-2;2.899253607E0;1.185557747E1;1.220500904E1
3.243444870E-1;-9.576395154E-3;3.198515892E0;1.122114086E1;1.166810172E1
3.267010490E-1;-1.340695322E-1;3.519325256E0;1.053403473E1;1.110718293E1
3.290568830E-1;-4.261495769E-1;3.612694979E0;9.559636116E0;1.022838263E1
3.314126640E-1;-5.506427288E-1;3.394832134E0;8.058536530E0;8.761740902E0
3.337682890E-1;-5.195194483E-1;2.959106207E0;6.646018028E0;7.293542735E0
3.361237060E-1;-6.057069898E-1;2.616750002E0;5.913424015E0;6.494832185E0
3.384795910E-1;-6.511948705E-1;2.422827959E0;5.843995094E0;6.359750682E0
3.408354240E-1;-4.740315676E-1;2.413251638E0;6.186351299E0;6.657284116E0
3.431909970E-1;-3.926321864E-1;2.427616119E0;6.808816910E0;7.239300226E0
3.455469870E-1;-4.668492675E-1;2.403675079E0;7.589293003E0;7.974520074E0
3.479026640E-1;-7.278060317E-1;2.238482475E0;8.546932220E0;8.865131459E0
3.502586530E-1;-9.432749152E-1;1.999072433E0;9.830169678E0;1.007562872E1
3.526139660E-1;-1.024674296E0;1.886549830E0;1.116847038E1;1.137293974E1
3.549693830E-1;-7.110473514E-1;1.750086188E0;1.203752899E1;1.218484691E1
3.573243310E-1;-2.705331743E-1;1.630381227E0;1.222426796E1;1.233547965E1
3.596799030E-1;1.508282274E-1;1.616016626E0;1.181966591E1;1.193058092E1
3.620359450E-1;4.955784380E-1;1.754874468E0;1.111580086E1;1.126437797E1
3.643907890E-1;6.296479702E-1;1.903308511E0;1.029462433E1;1.048800886E1
3.667461010E-1;6.847122312E-1;2.236088276E0;9.703282356E0;9.981112669E0
3.691012580E-1;4.213613868E-1;2.523380041E0;9.322620392E0;9.667276929E0
3.714570390E-1;-9.576395154E-2;2.635902882E0;9.056876183E0;9.433141625E0
3.738131850E-1;-4.333318770E-1;2.583232641E0;8.798313141E0;9.179933634E0
3.761695910E-1;-6.248598099E-1;2.590415001E0;8.941959381E0;9.330559320E0
3.785262060E-1;-7.948408127E-1;2.722090244E0;9.468660355E0;9.884183129E0
3.808820910E-1;-7.996289730E-1;2.822642565E0;9.849322319E0;1.027695810E1
3.832378200E-1;-5.458545089E-1;2.784336805E0;9.933115959E0;1.033040567E1
3.855948510E-1;-2.848977447E-1;2.887283087E0;9.971421242E0;1.038493197E1
3.879514140E-1;-4.069967940E-2;3.038111448E0;9.980998039E0;1.043322095E1
3.903069350E-1;8.858165145E-2;3.038111448E0;9.770317078E0;1.023215831E1
