"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1724586221.304;"2024-08-25 13:43:41.304 UTC+02:00"
"PAUSE";7.595708445E1;1724586297.261;"2024-08-25 13:44:57.261 UTC+02:00"
