"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.646567494E2;7.987091556E0
1.654841703E2;1.012041199E1
1.663115911E2;1.072039364E1
1.671390120E2;8.220426850E0
1.679664328E2;1.033234808E1
1.687938537E2;1.135829847E1
1.696212745E2;9.236795500E0
1.704486954E2;8.103457034E0
1.712761162E2;9.784032199E0
1.721035371E2;8.623560833E0
1.729309579E2;9.474152056E0
1.737583788E2;8.568488093E0
1.745857996E2;9.233291976E0
1.754132205E2;9.903385330E0
1.762406413E2;9.966227938E0
1.770680622E2;9.165909588E0
1.778954830E2;9.484014943E0
1.787229039E2;8.188080289E0
1.795503247E2;7.229839539E0
1.803777456E2;9.435736819E0
1.812051664E2;8.042012313E0
1.820325873E2;5.857322497E0
1.828600081E2;9.809798754E0
1.836874290E2;9.304741348E0
1.845148498E2;6.497287991E0
1.853422707E2;7.781851386E0
1.861696915E2;7.194433483E0
1.869971124E2;5.337886602E0
1.878245332E2;8.062746752E0
1.886519541E2;7.356659051E0
1.894793750E2;4.033193342E0
1.903067958E2;7.966473900E0
1.911342167E2;6.957035354E0
1.919616375E2;2.591750382E0
1.927890584E2;4.379359770E0
1.936164792E2;7.444844078E0
1.944439001E2;5.795964779E0
1.952713209E2;2.521488551E0
1.960987418E2;3.082878510E0
1.969261626E2;5.872929046E0
1.977535835E2;9.239168030E0
1.985810043E2;8.310324395E0
1.994084252E2;3.858620089E0
2.002358460E2;4.086251547E0
2.010632669E2;6.587883563E0
2.018906877E2;2.101355731E0
2.027181086E2;1.298485424E0
2.035455294E2;3.100711993E0
2.043729503E2;2.515363057E0
2.052003711E2;1.792605677E0
2.060277920E2;2.486720953E0
2.068552128E2;3.323707002E0
2.076826337E2;2.290322047E0
2.085100545E2;2.074769832E0
2.093374754E2;4.185260994E0
2.101648962E2;3.873150937E0
2.109923171E2;2.139796549E0
