"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1724429208,081;"2024-08-23 18:06:48.081 UTC+02:00"
"PAUSE";2,127052654E3;1724431335,133;"2024-08-23 18:42:15.133 UTC+02:00"
