"Time (s)";"Peak-Frequency"
3,290224108E1;2,565923712E1
3,310834973E1;2,565920130E1
3,328575806E1;2,565915193E1
3,348378093E1;2,565902040E1
3,364276395E1;2,462429899E1
3,384557520E1;2,503806760E1
3,403563671E1;2,503796288E1
3,422490035E1;2,586558076E1
3,438556389E1;2,586561631E1
3,458775478E1;2,586559428E1
3,475956368E1;2,462399585E1
3,496144296E1;2,462396718E1
3,512087577E1;2,462393812E1
3,532388884E1;2,462393254E1
3,551698270E1;2,462401351E1
3,571251374E1;2,462408133E1
3,586240556E1;2,462411583E1
3,602421207E1;2,462418127E1
3,620838020E1;2,462422547E1
3,640307816E1;2,462428785E1
3,656394072E1;2,462430391E1
3,676739004E1;2,462432873E1
3,694606577E1;2,462433709E1
3,709890082E1;2,565897227E1
3,726244087E1;2,462433536E1
3,746722556E1;2,565899025E1
3,763757077E1;2,565904543E1
3,783955212E1;2,565911445E1
3,804256613E1;2,565920421E1
3,824585842E1;2,565927889E1
3,844270072E1;2,565927018E1
3,859849608E1;2,586622376E1
3,879292624E1;2,586617008E1
3,894597155E1;2,565925607E1
3,911319525E1;2,565928193E1
3,926355608E1;2,565936837E1
3,941908415E1;2,565943089E1
3,962616202E1;2,565940904E1
3,981484702E1;2,565939673E1
4,000837624E1;2,565935565E1
4,016840738E1;2,565931900E1
4,036926113E1;2,565934652E1
4,053907910E1;2,565937432E1
4,073881806E1;3,859253170E1
4,090354686E1;2,565939797E1
4,109815379E1;2,565937391E1
4,129142550E1;2,565937723E1
4,144588962E1;2,565942923E1
4,159795978E1;2,596988099E1
4,176375842E1;2,596991780E1
4,193672217E1;2,596988701E1
4,212691040E1;2,596988392E1
4,228377561E1;2,596989722E1
4,244470769E1;2,596990450E1
4,263398426E1;2,555608399E1
4,279133967E1;2,555605382E1
4,294790826E1;2,555604225E1
4,314868707E1;2,586649334E1
4,330266837E1;2,586647299E1
4,353358342E1;2,586644022E1
4,368935556E1;2,586647480E1
4,389097660E1;2,586650505E1
4,406177191E1;2,586648679E1
4,426165550E1;2,586655162E1
4,441814748E1;2,586663109E1
4,461311853E1;2,586671573E1
4,480731009E1;2,586671322E1
4,500063603E1;2,586667390E1
4,515716274E1;2,597011960E1
4,536524175E1;2,597010140E1
4,555192123E1;2,597011372E1
4,570287972E1;2,597008530E1
4,586164420E1;2,597014241E1
4,605465306E1;2,597025874E1
4,625150571E1;2,597036877E1
4,640456602E1;2,597047586E1
4,654192358E1;2,597057483E1
4,674537618E1;2,597062509E1
4,694123092E1;2,597068347E1
4,713785759E1;2,597081562E1
4,729543097E1;2,597089471E1
4,748706644E1;2,586754799E1
4,768626003E1;2,586769580E1
4,787911733E1;2,586784513E1
4,808081285E1;2,586803073E1
4,827612061E1;2,586823446E1
4,846896462E1;2,586835047E1
4,862055904E1;2,586842731E1
4,878302045E1;2,586856243E1
4,898784113E1;2,586862086E1
4,917105009E1;2,586869240E1
4,936431493E1;2,586876644E1
4,952471972E1;2,586890519E1
4,972941576E1;2,586900407E1
4,992554691E1;2,586897325E1
5,012101410E1;2,586898887E1
5,031370384E1;2,586901411E1
5,046621467E1;2,586899417E1
5,063744998E1;2,586896614E1
5,082714863E1;2,586897283E1
5,098441212E1;2,586894898E1
5,118777915E1;2,586891552E1
5,137518347E1;2,586892597E1
5,156531087E1;2,586895610E1
5,172512899E1;2,586894215E1
5,192777201E1;2,586891607E1
5,209389066E1;2,586891273E1
