"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1,613376040E2;6,222878704E-1
1,621649763E2;5,323751393E-1
1,629923486E2;3,416480328E-1
1,638197210E2;4,941237595E-1
1,646470933E2;6,413710063E-1
1,654744656E2;5,049026510E-1
1,663018379E2;5,981539362E-1
1,671292103E2;4,696687700E-1
1,679565826E2;2,799844493E-1
1,687839549E2;4,591828029E-1
1,696113273E2;8,101310367E-2
1,704386996E2;5,528725843E-1
1,712660719E2;4,674158197E-1
1,720934442E2;4,401840593E-1
1,729208166E2;2,053565514E-1
1,737481889E2;4,639538646E-1
1,745755612E2;6,739222964E-1
1,754029335E2;5,769269484E-1
1,762303059E2;3,057846564E-1
1,770576782E2;3,462095175E-1
1,778850505E2;4,162850108E-1
1,787124229E2;7,210051711E-1
1,795397952E2;2,787557578E-1
1,803671675E2;3,964792507E-1
1,811945398E2;5,334027229E-1
1,820219122E2;5,579587510E-1
1,828492845E2;4,100663068E-1
1,836766568E2;4,080661515E-1
1,845040292E2;5,385552825E-1
1,853314015E2;3,004232498E-1
1,861587738E2;6,309689182E-1
1,869861461E2;4,622864868E-1
1,878135185E2;4,065074681E-1
1,886408908E2;5,696344269E-1
1,894682631E2;4,154126901E-1
1,902956355E2;3,395209061E-1
1,911230078E2;6,057842955E-1
1,919503801E2;4,825085427E-1
1,927777524E2;2,857902490E-1
1,936051248E2;6,106518276E-1
1,944324971E2;4,482816974E-1
1,952598694E2;3,889354310E-1
1,960872417E2;3,717020209E-1
1,969146141E2;3,516625355E-1
1,977419864E2;2,718702016E-1
1,985693587E2;5,342044504E-1
1,993967311E2;3,239370444E-1
2,002241034E2;4,168852549E-1
2,010514757E2;6,284634286E-1
2,018788480E2;4,817884619E-1
2,027062204E2;4,303306124E-1
2,035335927E2;5,032849555E-1
2,043609650E2;6,811478021E-1
2,051883374E2;2,868439893E-1
2,060157097E2;5,357645849E-1
2,068430820E2;5,382220147E-1
2,076704543E2;4,353687012E-1
2,084978267E2;4,992331349E-1
2,093251990E2;5,488045363E-1
2,101525713E2;4,979612352E-1
2,109799437E2;3,520587838E-1
