"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1724433101,130;"2024-08-23 19:11:41.130 UTC+02:00"
"PAUSE";4,818182866E2;1724433582,949;"2024-08-23 19:19:42.949 UTC+02:00"
