"event";"experiment time";"system time";"system time text"
"START";0,000000000E0;1724431628,198;"2024-08-23 18:47:08.198 UTC+02:00"
"PAUSE";8,433738143E1;1724431712,536;"2024-08-23 18:48:32.536 UTC+02:00"
