"Time (s)";"Peak-Frequency"
2,622523832E1;2,151012560E1
2,636504598E1;2,151011992E1
2,652557140E1;2,151011285E1
2,666024093E1;2,316471919E1
2,679981921E1;2,316469324E1
2,693945358E1;2,316466753E1
2,707856124E1;2,316468762E1
2,721087879E1;2,316461349E1
2,734603457E1;1,240957833E2
2,748589202E1;1,274050214E2
2,762582738E1;1,290594346E2
2,776484551E1;1,290593352E2
2,790506431E1;1,307141758E2
2,804709051E1;1,307140892E2
2,818515567E1;1,356777129E2
2,833150035E1;1,373320609E2
2,844599056E1;1,373321630E2
2,856024056E1;1,389868955E2
2,869999806E1;1,406416885E2
2,883840150E1;1,439511521E2
2,897170468E1;1,439514639E2
2,908824390E1;1,472607484E2
2,922617775E1;1,472607397E2
2,934273822E1;1,472607263E2
2,948405790E1;1,489155305E2
2,962412488E1;1,522249097E2
2,976462410E1;1,985545134E1
2,990431759E1;1,571889873E2
3,004473572E1;1,604980691E2
3,018537874E1;1,604980605E2
3,032559566E1;1,638072689E2
3,045461395E1;1,621525941E2
3,060358275E1;3,309228841E1
3,074094343E1;3,309225079E1
3,088222374E1;3,309223599E1
3,102249369E1;2,316453849E1
3,116157702E1;2,316456057E1
3,130230916E1;3,474681859E1
3,144321639E1;2,150994065E1
3,158540046E1;2,150991249E1
3,172584363E1;1,422962138E2
3,186537494E1;1,439506170E2
3,200454613E1;2,316441494E1
3,214500098E1;2,316442505E1
3,228643697E1;2,316443278E1
3,242529764E1;1,489143904E2
3,255873249E1;1,505688139E2
3,270811139E1;7,611158266E1
3,284315551E1;1,522232744E2
3,298431150E1;1,538782126E2
3,312052410E1;7,776658322E1
3,325948848E1;7,776675457E1
3,339814186E1;1,571881125E2
3,353133165E1;7,942129235E1
3,366764103E1;7,942128080E1
3,380654790E1;8,107595764E1
3,394698275E1;8,107594105E1
3,408581353E1;8,107590435E1
3,422500436E1;8,273057215E1
3,437547327E1;8,273069962E1
3,451105223E1;1,257507854E2
3,465174462E1;8,438554365E1
3,476682957E1;1,274057140E2
3,489443410E1;8,604042034E1
3,502973457E1;1,290605297E2
3,516812327E1;1,307152005E2
3,530641160E1;1,307153096E2
3,544548879E1;8,769514020E1
3,558582040E1;1,323701320E2
3,572515796E1;1,340246713E2
3,586448525E1;1,340246482E2
3,600547374E1;1,356796843E2
3,614685884E1;1,356796763E2
3,628534103E1;9,100470258E1
3,642549546E1;9,100462217E1
3,656233473E1;8,769549926E1
3,670346551E1;8,935005623E1
3,684382405E1;8,769561689E1
3,698361077E1;8,769574730E1
3,712383394E1;8,769588149E1
3,726333098E1;8,604144617E1
3,740241478E1;8,604150551E1
3,754062801E1;8,604156066E1
3,768178738E1;8,438701483E1
3,781991108E1;8,438716986E1
3,794590254E1;8,438736308E1
3,807210207E1;8,273271113E1
3,820856613E1;8,273275081E1
3,834626936E1;8,273268439E1
3,848575577E1;8,107792806E1
3,863811884E1;8,107773236E1
3,876846525E1;7,942287124E1
