"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.749289740E-1;1.211413980E0;5.386722088E0;7.244543076E0;9.108660882E0
1.772848070E-1;-9.552454352E-1;4.297407150E0;6.966827393E0;8.241170182E0
1.796415260E-1;-2.456345320E0;5.525579929E0;9.052087784E0;1.088604424E1
1.819974640E-1;-3.167392731E0;4.613428593E0;8.867741585E0;1.048584479E1
1.843536090E-1;-2.037378073E0;4.333318710E0;8.496656418E0;9.753037001E0
1.867105890E-1;-1.228172660E0;5.166465282E0;8.597208977E0;1.010508653E1
1.890668390E-1;1.170714259E0;5.535156250E0;8.262035370E0;1.001347867E1
1.914230360E-1;2.786731005E0;4.273466110E0;7.002738953E0;8.664106135E0
1.937796510E-1;2.573656082E0;5.463333607E0;7.699421883E0;9.785336839E0
1.961356930E-1;1.529829144E0;5.944547176E0;8.681002617E0;1.063192479E1
1.984918390E-1;1.223384500E0;3.718035460E0;7.991501808E0;8.898570585E0
2.008478800E-1;-3.088387549E-1;4.690039635E0;9.425566673E0;1.053248120E1
2.032035050E-1;-2.482680559E0;4.170520306E0;1.038320637E1;1.146158440E1
2.055593390E-1;-1.850638390E0;3.133875370E0;1.036644745E1;1.098677705E1
2.079146510E-1;-3.193727732E0;4.381200790E0;1.170474911E1;1.289945615E1
2.102695990E-1;-1.668686867E0;3.593542337E0;1.061064625E1;1.132624722E1
2.126259010E-1;3.686912060E-1;4.347683430E0;1.000733280E1;1.091718802E1
2.149819430E-1;1.405336022E0;5.185617924E0;9.602729797E0;1.100354589E1
2.173380360E-1;3.852104902E0;4.579910755E0;7.704209805E0;9.755467360E0
2.196941820E-1;2.396492958E0;6.061858177E0;7.802368164E0;1.016691950E1
2.220500680E-1;1.431671023E0;5.465727329E0;6.574195385E0;8.668558249E0
2.244058490E-1;3.303856254E-1;4.857626438E0;5.427422047E0;7.291268706E0
2.267621510E-1;-2.494650841E0;5.872724533E0;6.176774979E0;8.880581366E0
2.291177240E-1;-2.183418036E0;3.734794140E0;4.723556995E0;6.405309694E0
2.314741820E-1;-3.289491653E0;4.836079597E0;6.236627579E0;8.550084489E0
2.338304320E-1;-4.132214546E0;5.729078293E0;8.563691139E0;1.110109639E1
2.361867860E-1;-3.519325256E-1;3.239215612E0;7.177508354E0;7.882448887E0
2.385425160E-1;-1.915279031E-1;5.171253204E0;9.566819191E0;1.087669858E1
2.408978280E-1;2.549715281E0;5.322081566E0;1.043348217E1;1.198679066E1
2.432543390E-1;4.606245995E0;3.653394699E0;1.034250641E1;1.189673206E1
2.456101720E-1;3.071628809E0;6.272538662E0;1.313402557E1;1.487555957E1
2.479664740E-1;2.408463478E0;3.449896336E0;1.088357353E1;1.166853264E1
2.503220990E-1;3.327797353E-1;4.462600231E0;1.094581985E1;1.182524907E1
2.526776720E-1;-2.722090244E0;4.460206032E0;1.067768097E1;1.188764417E1
