"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1724432553.598;"2024-08-23 19:02:33.598 UTC+02:00"
"PAUSE";7.877701247E1;1724432632.375;"2024-08-23 19:03:52.375 UTC+02:00"
