"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1724585861.853;"2024-08-25 13:37:41.853 UTC+02:00"
"PAUSE";7.370228049E1;1724585935.555;"2024-08-25 13:38:55.555 UTC+02:00"
