"Time (s)";"Peak-Frequency"
2,726051634E1;1,902568528E1
2,740575489E1;1,902569543E1
2,754730973E1;1,902569133E1
2,768686593E1;1,985288482E1
2,782627015E1;1,985285263E1
2,796607353E1;1,985283937E1
2,810768249E1;2,067999589E1
2,824977848E1;2,067998052E1
2,839054447E1;2,150718600E1
2,853822567E1;2,150720106E1
2,867946947E1;2,233439857E1
2,882414416E1;2,233438245E1
2,896617744E1;2,233432626E1
2,910614093E1;2,316152241E1
2,924791926E1;2,316154312E1
2,938915770E1;2,398870581E1
2,953301436E1;2,481584094E1
2,968133749E1;2,481583212E1
2,982469223E1;2,564304047E1
2,997674785E1;2,564304379E1
3,012133983E1;2,564302348E1
3,026381114E1;2,647016418E1
3,040633025E1;2,647008946E1
3,054781832E1;2,646999478E1
3,068916587E1;1,819806113E1
3,082781624E1;1,819802172E1
3,097072796E1;1,902510963E1
3,110992108E1;1,902504865E1
3,125301582E1;1,902499741E1
3,139434129E1;1,902498307E1
3,154195567E1;1,902499075E1
3,168444759E1;1,902499506E1
3,182863488E1;1,985219784E1
3,197193530E1;1,985221078E1
3,211224410E1;2,067940383E1
3,225732009E1;2,067943435E1
3,240683176E1;2,067946420E1
3,254766858E1;2,067948147E1
3,268882509E1;2,067944961E1
3,282859285E1;2,150658971E1
3,297070900E1;2,150663455E1
3,312658155E1;2,150660918E1
3,324442004E1;2,067937932E1
3,338539108E1;2,067936818E1
3,352709374E1;2,233372113E1
3,366895426E1;2,233374086E1
3,379781192E1;7,196421601E1
3,394339468E1;7,279126191E1
3,408583915E1;7,361840877E1
3,422537994E1;7,361837547E1
3,436747342E1;7,444526952E1
3,450624087E1;7,444517609E1
3,464671796E1;7,609961869E1
3,480421348E1;7,609952113E1
3,492125270E1;7,692652906E1
3,505467150E1;7,692647478E1
3,520242879E1;7,775356872E1
3,534492181E1;7,858071571E1
3,548721613E1;7,940783624E1
3,563652587E1;7,940772417E1
3,578191254E1;8,023490914E1
3,592025488E1;8,106197665E1
3,606461145E1;8,023469002E1
3,620713952E1;8,023445880E1
3,635140613E1;8,106155093E1
3,649271020E1;8,188874137E1
3,663949441E1;8,271568118E1
3,678245473E1;8,271565577E1
3,692517551E1;8,354264808E1
3,706715233E1;8,436965986E1
3,720716176E1;8,519680972E1
3,734615644E1;8,519678724E1
3,748776061E1;8,602389788E1
3,762696103E1;8,850530307E1
3,776863150E1;8,933242801E1
3,790829941E1;8,850522654E1
3,804991441E1;8,850505587E1
3,819729493E1;8,933214866E1
3,833699181E1;9,181366449E1
3,848146493E1;9,181354531E1
3,862384702E1;9,264077371E1
3,876733061E1;9,181358931E1
3,890653712E1;9,264062950E1
3,904659967E1;9,264052071E1
3,918608545E1;9,015902818E1
3,932668795E1;9,015887860E1
3,946712285E1;8,933155345E1
3,960999540E1;8,933134846E1
3,974956332E1;8,933125127E1
3,989316327E1;8,933108768E1
4,003613525E1;8,602249319E1
4,018237254E1;8,519540890E1
4,032378842E1;8,519535016E1
4,046628957E1;8,436824674E1
4,060466618E1;8,436829173E1
4,074443931E1;8,354112327E1
4,088444446E1;8,271423204E1
4,102360160E1;8,188738480E1
4,116317946E1;8,188732790E1
4,130514952E1;8,271435857E1
4,144741863E1;8,188712412E1
4,156384550E1;8,105988976E1
4,170312254E1;8,105986269E1
4,184266217E1;7,857843113E1
4,198438926E1;7,940549595E1
4,212460941E1;7,857813655E1
4,226414748E1;7,857793974E1
4,240398582E1;7,775079474E1
4,254350571E1;7,692359067E1
4,268373233E1;7,692328199E1
4,282892858E1;7,609611387E1
4,296345248E1;7,609608517E1
4,310275837E1;7,526889421E1
4,324403952E1;7,444165004E1
4,338350676E1;7,361449204E1
4,352299368E1;7,361460386E1
4,366362327E1;7,278758560E1
4,380355738E1;7,278754875E1
4,395103123E1;7,196043301E1
4,408002561E1;7,113337823E1
4,422813014E1;2,233253182E1
4,434539681E1;2,233249164E1
4,447263337E1;2,233247648E1
4,461839483E1;2,233252256E1
4,476268993E1;2,233250571E1
4,490468530E1;2,150538329E1
4,504610592E1;2,150538711E1
4,518757134E1;2,150536591E1
4,532766384E1;2,150534587E1
4,546974920E1;2,067819569E1
4,560943425E1;2,067816172E1
4,574935238E1;2,067817186E1
4,589119019E1;2,067817185E1
4,604429097E1;2,067813488E1
4,616187540E1;2,067810302E1
4,629999040E1;1,985098799E1
4,644451227E1;1,985095260E1
4,658614337E1;1,985092993E1
4,672921384E1;1,985098446E1
4,686723701E1;1,985096458E1
4,700954800E1;1,985093934E1
4,714993998E1;1,985094608E1
4,728967186E1;1,985094426E1
4,743018618E1;1,985096864E1
4,757072571E1;1,985098452E1
4,771654373E1;1,902387420E1
4,785704587E1;1,902385863E1
4,800312509E1;1,985096250E1
4,814403925E1;1,985099008E1
4,828577498E1;1,819676590E1
4,842671972E1;1,736968097E1
4,856719352E1;1,736967302E1
4,870800279E1;1,058724506E2
4,884939779E1;1,050453725E2
4,899070368E1;1,042183367E2
4,912986712E1;1,050455603E2
4,927997201E1;1,050457261E2
4,940147509E1;1,050459490E2
4,952860988E1;1,042190424E2
4,965563082E1;1,033920324E2
4,978770868E1;1,025648862E2
4,992771467E1;1,017379533E2
5,006761982E1;1,009111731E2
5,020812227E1;1,571572318E1
5,034935498E1;1,571576627E1
5,049040608E1;1,571577643E1
5,063366285E1;9,677581493E1
5,077206061E1;2,316003494E1
5,091749118E1;2,316005116E1
5,106264248E1;2,316002995E1
5,120499956E1;2,316004018E1
5,134630618E1;2,316004492E1
5,148967186E1;2,316009844E1
5,162793045E1;2,316010779E1
5,177169581E1;2,150585573E1
5,191249279E1;2,150590520E1
5,205852113E1;2,067882573E1
5,220383305E1;2,067883530E1
5,234677795E1;2,067891639E1
5,249902852E1;8,354306792E1
5,264008003E1;8,271612761E1
5,278274430E1;8,188904705E1
5,292447456E1;8,188930156E1
5,306552420E1;8,106216747E1
5,320697050E1;8,023507380E1
5,334713665E1;8,106227532E1
5,348785863E1;8,106253380E1
5,363668336E1;8,023556044E1
5,378056321E1;7,940842479E1
5,392575670E1;7,858143614E1
5,406632837E1;1,240763735E1
5,421921373E1;1,240768808E1
5,433567342E1;1,240773199E1
5,447681337E1;7,610127313E1
5,461312284E1;7,527432867E1
5,475973472E1;7,527475077E1
5,490509717E1;1,158080943E1
5,504695300E1;1,158085815E1
5,518786862E1;1,158093594E1
5,532932258E1;1,158101922E1
5,546870014E1;1,158108354E1
5,561557696E1;1,158117931E1
5,573255800E1;1,158125935E1
5,587140107E1;1,158133927E1
5,601041430E1;1,075417739E1
5,614930946E1;1,075425253E1
5,628908883E1;1,075432368E1
5,642866628E1;1,075437124E1
5,657078024E1;7,693554755E1
5,671858055E1;7,693604946E1
5,686480133E1;7,693665170E1
5,700957524E1;7,693719798E1
5,714572701E1;7,693754490E1
5,728748743E1;7,693793328E1
5,741391961E1;7,693839253E1
5,756051805E1;7,611175077E1
5,770571722E1;7,611227112E1
5,784510967E1;7,528539741E1
5,798541008E1;2,233748361E1
5,812724232E1;9,927796434E0
5,826939972E1;2,233770239E1
5,840914961E1;2,233781071E1
5,854928248E1;1,902863643E1
5,869019467E1;2,399278172E1
5,883606498E1;2,399293413E1
5,895325170E1;9,100809647E0
5,909965159E1;9,100855444E0
5,924278670E1;9,100924973E0
5,938483503E1;9,100978175E0
5,952644373E1;8,025447332E1
5,966750581E1;8,025475913E1
5,980964925E1;8,025516991E1
5,995006013E1;7,860090014E1
6,008920138E1;7,860123767E1
6,022875628E1;7,860171495E1
6,036966352E1;7,860202876E1
6,051648305E1;7,860240272E1
6,063477857E1;7,860270044E1
6,078131758E1;7,694829772E1
6,092391920E1;7,612132159E1
6,106579513E1;7,529436867E1
6,120705190E1;7,446733518E1
6,135040597E1;7,364032427E1
6,149013873E1;7,198604677E1
6,162965993E1;7,115889279E1
6,176792237E1;7,033170558E1
6,190917638E1;2,068592650E1
6,204947112E1;6,785016979E1
6,218962508E1;2,068612859E1
6,233173951E1;2,068622300E1
6,247628404E1;2,068633312E1
6,262452753E1;2,068644994E1
6,276646659E1;2,068657122E1
6,290722180E1;1,903174069E1
6,304671930E1;1,903179555E1
6,318820940E1;2,482415780E1
6,332985550E1;2,482425518E1
6,346973070E1;2,482441036E1
6,362691253E1;2,151462148E1
6,374458206E1;2,068719501E1
6,388576685E1;2,068722233E1
6,402901873E1;2,068723793E1
6,416721435E1;2,068725242E1
6,430752425E1;2,068729869E1
6,444927763E1;2,068731050E1
6,458786393E1;2,068728107E1
6,472989659E1;2,068724228E1
6,487098133E1;2,068719970E1
6,501066711E1;2,068720750E1
6,514712326E1;2,068720727E1
6,528914446E1;2,482466706E1
6,542733919E1;2,482466973E1
6,556873768E1;2,482463977E1
6,570815081E1;2,482466024E1
6,584760268E1;2,565215361E1
6,598947498E1;2,565210702E1
6,613456128E1;2,565206321E1
6,627849378E1;2,565206100E1
6,642426878E1;2,068717462E1
6,656673602E1;2,068720750E1
6,670717742E1;2,068724741E1
6,684804794E1;2,068729189E1
6,698725216E1;2,068736568E1
6,712735622E1;2,068736758E1
6,726714945E1;2,068739110E1
6,741820716E1;2,068739333E1
6,755880544E1;2,068740358E1
6,770397471E1;2,068746925E1
6,784534362E1;2,068751317E1
6,798669774E1;2,068751573E1
6,812910331E1;2,068755297E1
6,826804211E1;2,068754940E1
6,840792430E1;2,068758373E1
6,854917909E1;2,068759689E1
6,868912305E1;2,068763970E1
6,883030024E1;1,986013154E1
6,896861539E1;1,986009291E1
6,911150497E1;1,986012576E1
6,927089091E1;1,986018141E1
6,941542638E1;1,986016558E1
6,956096143E1;1,986011924E1
6,970404919E1;1,986011485E1
6,984546857E1;1,986011495E1
6,998709378E1;1,986012940E1
7,012748284E1;1,986013689E1
7,026905445E1;1,986018173E1
7,040755534E1;1,986021149E1
7,054620680E1;1,986023203E1
7,068765029E1;2,068772665E1
7,082602326E1;2,068769131E1
7,097487247E1;2,068766266E1
7,111769716E1;2,068761896E1
7,126351143E1;1,986010960E1
7,140554664E1;1,986012137E1
7,154572622E1;1,986009547E1
7,169795065E1;1,986009505E1
7,184233341E1;1,986012683E1
7,198561065E1;1,986013004E1
7,212684674E1;1,986013807E1
7,226631055E1;1,986013614E1
7,240844690E1;2,068765129E1
7,252590065E1;2,068761317E1
7,266689721E1;2,068760146E1
7,280766023E1;2,068763245E1
7,294944445E1;2,068762320E1
7,308906810E1;1,986009216E1
7,322942164E1;1,986005256E1
7,337024924E1;1,985999209E1
7,351126836E1;1,985996298E1
7,365395877E1;1,985996705E1
7,380979862E1;1,985993034E1
7,394872133E1;1,985989407E1
7,409003612E1;1,985987234E1
7,423037013E1;1,985988636E1
7,436925258E1;1,985992082E1
7,450809388E1;1,985996052E1
7,464922685E1;1,985995261E1
7,478892112E1;1,985992638E1
7,493074091E1;1,985985629E1
7,507652351E1;1,985983253E1
7,524218226E1;1,985987855E1
7,535987440E1;1,985982536E1
7,549768263E1;1,985981723E1
7,564396065E1;1,985978052E1
7,578645544E1;1,985975805E1
7,592805997E1;1,985971588E1
7,606867237E1;1,985961443E1
7,620974377E1;1,985947232E1
7,635963367E1;1,985939013E1
7,647315914E1;1,985930484E1
7,662048419E1;1,985918263E1
7,676487263E1;1,985910751E1
7,690674893E1;1,985897782E1
7,704664101E1;1,985888119E1
7,718878164E1;1,985880169E1
7,732689742E1;1,985869243E1
7,746682575E1;1,985859752E1
7,760793528E1;1,985851117E1
7,774868955E1;1,985844119E1
7,788783190E1;1,985836190E1
7,802863534E1;1,985824848E1
7,817749924E1;1,985811901E1
7,831826596E1;1,985800666E1
7,846341945E1;1,985790148E1
7,860590408E1;1,985781160E1
7,870974711E1;1,985777566E1
