"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1724432203.806;"2024-08-23 18:56:43.806 UTC+02:00"
"PAUSE";7.870974711E1;1724432282.516;"2024-08-23 18:58:02.516 UTC+02:00"
