"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.646540565E2;5.404718390E0
1.654814638E2;2.336516313E0
1.663088712E2;2.653820993E0
1.671362785E2;3.353789612E0
1.679636858E2;5.221401115E0
1.687910931E2;4.164390157E0
1.696185004E2;1.082690222E1
1.704459078E2;5.353932599E0
1.712733151E2;5.994424293E0
1.721007224E2;4.228340301E0
1.729281297E2;2.337189714E0
1.737555370E2;4.056910372E0
1.745829443E2;5.724227922E0
1.754103517E2;2.643530562E0
1.762377590E2;4.471497932E0
1.770651663E2;8.397494238E0
1.778925736E2;6.162368439E0
1.787199809E2;5.539212751E0
1.795473883E2;5.149391343E0
1.803747956E2;8.362172442E0
1.812022029E2;3.428029749E0
1.820296102E2;7.417784146E0
1.828570175E2;6.708764623E0
1.836844249E2;4.777497652E0
1.845118322E2;2.206338715E0
1.853392395E2;4.676323366E0
1.861666468E2;1.689893070E0
1.869940541E2;4.131471677E0
1.878214615E2;3.245963824E0
1.886488688E2;3.866416455E0
1.894762761E2;2.391976400E0
1.903036834E2;3.153927567E0
1.911310907E2;4.186007658E0
1.919584981E2;4.568386011E0
1.927859054E2;3.816796033E0
1.936133127E2;5.123770746E0
1.944407200E2;4.997736533E0
1.952681273E2;2.875754989E0
1.960955346E2;5.689397714E0
1.969229420E2;3.177747955E0
1.977503493E2;2.960976494E0
1.985777566E2;2.977451351E0
1.994051639E2;2.386797591E0
2.002325712E2;4.050982984E0
2.010599786E2;2.787897849E0
2.018873859E2;9.009955561E0
2.027147932E2;2.547157053E0
2.035422005E2;7.355969761E0
2.043696078E2;8.473582121E0
2.051970152E2;4.173787398E0
2.060244225E2;7.483553636E0
2.068518298E2;6.332218853E0
2.076792371E2;7.515292037E0
2.085066444E2;2.381107153E0
2.093340518E2;6.855264435E0
2.101614591E2;6.529377395E0
2.109888664E2;3.936513257E0
