"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1724586480.001;"2024-08-25 13:48:00.001 UTC+02:00"
"PAUSE";1.444240765E2;1724586624.425;"2024-08-25 13:50:24.425 UTC+02:00"
