"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
1,741855518E2;-2,274393886E-1;6,368302703E-1;9,822987556E0
1,741879135E2;-2,681390643E-1;6,799240708E-1;9,789469719E0
1,741902750E2;-2,585626841E-1;6,895004511E-1;9,758346558E0
1,741926358E2;-1,819515079E-1;7,182296515E-1;9,705676079E0
1,741949973E2;-1,125226468E-1;7,206237316E-1;9,672159195E0
1,741973590E2;-1,197049394E-2;7,062591314E-1;9,609912872E0
1,741997204E2;7,421706617E-2;7,110473514E-1;9,583577156E0
1,742020818E2;1,771633029E-1;6,799240708E-1;9,559636116E0
1,742044433E2;2,274393886E-1;6,511948705E-1;9,547665596E0
1,742068049E2;2,968682647E-1;6,607712507E-1;9,562030792E0
1,742091664E2;3,375679255E-1;6,296479702E-1;9,540483475E0
1,742115283E2;3,495384157E-1;6,176775098E-1;9,504571915E0
1,742138907E2;3,471443355E-1;5,961306095E-1;9,466266632E0
1,742162518E2;3,615089059E-1;5,841600895E-1;9,420778275E0
1,742186134E2;3,591148257E-1;5,602191091E-1;9,430355072E0
1,742209750E2;3,471443355E-1;5,458545089E-1;9,437537193E0
1,742233362E2;3,423561156E-1;5,362781286E-1;9,487813950E0
1,742256971E2;3,279915452E-1;5,506427288E-1;9,590759277E0
1,742280593E2;2,992623448E-1;5,554308891E-1;9,684129715E0
1,742304207E2;2,729272544E-1;5,697954893E-1;9,767923355E0
1,742327825E2;2,657449543E-1;5,961306095E-1;9,803834915E0
1,742351445E2;2,082865983E-1;6,033129096E-1;9,844533920E0
1,742375063E2;1,891338080E-1;6,272538900E-1;9,846928596E0
1,742398683E2;1,963160932E-1;6,823181510E-1;9,834958076E0
1,742422302E2;1,795574129E-1;7,038650513E-1;9,822987556E0
1,742445922E2;1,580105126E-1;6,918945312E-1;9,775105476E0
1,742469540E2;1,149167418E-1;6,966827512E-1;9,748770714E0
1,742493155E2;8,379346132E-2;7,062591314E-1;9,710464478E0
1,742516774E2;1,029462516E-1;6,990768313E-1;9,686523438E0
1,742540390E2;1,149167418E-1;6,942886710E-1;9,696100235E0
1,742564004E2;1,053403467E-1;7,014709711E-1;9,617094994E0
1,742587612E2;3,830558062E-2;6,895004511E-1;9,552453995E0
1,742611225E2;1,197049394E-2;6,895004511E-1;9,497389793E0
1,742634842E2;7,182296365E-3;7,325942516E-1;9,478237152E0
1,742658457E2;2,872918546E-2;7,804762125E-1;9,499784470E0
1,742682074E2;5,745837092E-2;8,163877130E-1;9,554848671E0
1,742705693E2;5,267017335E-2;8,235700130E-1;9,585971832E0
1,742729306E2;5,267017335E-2;8,427227736E-1;9,612306595E0
1,742752914E2;7,661116123E-2;8,858165741E-1;9,643429756E0
1,742776528E2;6,224656850E-2;9,073634148E-1;9,684129715E0
1,742800144E2;5,267017335E-2;9,336985350E-1;9,736800194E0
1,742823763E2;3,591148183E-2;9,528512955E-1;9,794258118E0
1,742847384E2;-2,394098788E-3;9,743981957E-1;9,837351799E0
1,742871002E2;-7,661116123E-2;9,696100354E-1;9,822987556E0
1,742894614E2;-1,197049394E-1;9,480631351E-1;9,820592880E0
1,742918232E2;-1,675869226E-1;9,648218155E-1;9,839746475E0
1,742941848E2;-1,867397130E-1;9,528512955E-1;9,846928596E0
1,742965468E2;-2,657449543E-1;9,552454352E-1;9,820592880E0
1,742989086E2;-3,040505350E-1;9,145457149E-1;9,801440239E0
1,743012705E2;-3,064446449E-1;8,786342740E-1;9,787075996E0
1,743036316E2;-3,064446449E-1;8,403286934E-1;9,799046516E0
1,743059931E2;-2,394098788E-1;7,804762125E-1;9,791864395E0
1,743083544E2;-1,723751128E-1;7,349883318E-1;9,799046516E0
1,743107163E2;-1,149167418E-1;7,062591314E-1;9,822987556E0
1,743130779E2;-4,069967940E-2;6,655594707E-1;9,813410759E0
1,743154393E2;4,548787698E-2;6,511948705E-1;9,782287598E0
1,743178015E2;1,173108369E-1;6,631653905E-1;9,717646599E0
1,743201629E2;1,819515079E-1;6,344361901E-1;9,662582397E0
1,743225254E2;2,777154446E-1;6,176775098E-1;9,569212914E0
1,743248874E2;3,208092451E-1;6,176775098E-1;9,504571915E0
1,743272494E2;4,117850065E-1;6,128892899E-1;9,466266632E0
1,743296111E2;4,883961678E-1;6,057069898E-1;9,427961349E0
1,743319728E2;5,410663486E-1;5,841600895E-1;9,423172951E0
1,743343348E2;5,674014091E-1;5,745837092E-1;9,483025551E0
1,743366966E2;5,793719292E-1;5,458545089E-1;9,514148712E0
1,743390584E2;5,243076086E-1;5,506427288E-1;9,526119232E0
1,743414202E2;4,716374576E-1;5,195194483E-1;9,564424515E0
1,743437824E2;3,112328351E-1;5,195194483E-1;9,621883392E0
1,743461442E2;1,484341323E-1;5,458545089E-1;9,643429756E0
1,743485058E2;-2,872918546E-2;6,152833700E-1;9,672159195E0
1,743508677E2;-1,053403467E-1;6,464066505E-1;9,693705559E0
1,743532295E2;-1,867397130E-1;6,703476906E-1;9,698493958E0
1,743555910E2;-2,370157838E-1;7,469588518E-1;9,688918114E0
1,743579528E2;-2,441980839E-1;7,685056925E-1;9,693705559E0
1,743603142E2;-1,819515079E-1;7,852643728E-1;9,653006554E0
1,743626757E2;-1,819515079E-1;8,187817931E-1;9,657794952E0
1,743650377E2;-1,316754371E-1;8,187817931E-1;9,674552917E0
1,743673992E2;-5,267017335E-2;8,187817931E-1;9,662582397E0
1,743697611E2;5,985246971E-2;8,451168537E-1;9,698493958E0
1,743721229E2;1,580105126E-1;8,307522535E-1;9,662582397E0
1,743744849E2;1,939219981E-1;8,044171929E-1;9,619488716E0
1,743768470E2;1,867397130E-1;7,517470121E-1;9,557242393E0
1,743792084E2;1,843456030E-1;7,373824120E-1;9,485419273E0
1,743815705E2;1,771633029E-1;6,942886710E-1;9,454296112E0
1,743839320E2;1,963160932E-1;6,440125704E-1;9,401625633E0
1,743862937E2;2,034983933E-1;6,583771706E-1;9,375290871E0
1,743886559E2;2,130747885E-1;6,320420504E-1;9,353743553E0
1,743910185E2;2,609567642E-1;5,985246897E-1;9,325015068E0
1,743933805E2;3,232033253E-1;6,057069898E-1;9,334590912E0
1,743957429E2;3,686912060E-1;5,937365294E-1;9,339379311E0
1,743981051E2;3,998144865E-1;5,817660093E-1;9,334590912E0
1,744004664E2;3,471443355E-1;5,865542293E-1;9,291497231E0
1,744028279E2;2,872918546E-1;5,554308891E-1;9,241221428E0
1,744051897E2;2,226511836E-1;5,626131892E-1;9,234039307E0
1,744075517E2;1,627987176E-1;5,338840485E-1;9,190945625E0
1,744099139E2;1,819515079E-1;5,171253681E-1;9,178975105E0
1,744122752E2;2,729272544E-1;5,195194483E-1;9,133486748E0
1,744146373E2;3,567207158E-1;5,027607679E-1;9,143063545E0
1,744169990E2;4,883961678E-1;4,812138677E-1;9,150245667E0
1,744193608E2;5,841600895E-1;4,668492675E-1;9,171792030E0
1,744217231E2;6,416184902E-1;4,572728574E-1;9,241221428E0
1,744240852E2;6,248598099E-1;4,740315676E-1;9,269950867E0
1,744264469E2;6,200715899E-1;4,524846673E-1;9,269950867E0
1,744288094E2;5,578250289E-1;4,405141771E-1;9,102363586E0
1,744311711E2;5,841600895E-1;3,471443355E-1;8,798313141E0
1,744335328E2;6,895004511E-1;2,274393886E-1;8,434410095E0
1,744358950E2;9,097575545E-1;1,484341323E-1;8,168664932E0
1,744382564E2;1,094103098E0;7,900525630E-2;8,199788094E0
1,744406181E2;1,187473059E0;1,292813420E-1;8,642696381E0
1,744429800E2;1,062979817E0;1,819515079E-1;9,396838188E0
1,744453422E2;7,924466729E-1;2,657449543E-1;1,006957912E1
1,744477037E2;4,860020578E-1;3,303856254E-1;1,057952213E1
1,744500659E2;2,226511836E-1;3,519325256E-1;1,091469669E1
1,744524282E2;8,139935881E-2;3,734794259E-1;1,104876614E1
1,744547900E2;2,394098788E-3;3,926321864E-1;1,110622406E1
1,744571523E2;2,154688910E-2;3,854499161E-1;1,112058926E1
1,744595142E2;4,069967940E-2;3,591148257E-1;1,111101246E1
1,744618765E2;1,005521491E-1;3,615089059E-1;1,109425354E1
1,744642387E2;1,580105126E-1;3,279915452E-1;1,101764297E1
1,744666007E2;2,633508742E-1;2,992623448E-1;1,091469669E1
1,744689629E2;3,279915452E-1;2,944741547E-1;1,078541470E1
1,744713244E2;3,543266058E-1;3,136269450E-1;1,070162201E1
1,744736864E2;3,279915452E-1;2,825036645E-1;1,065613365E1
1,744760476E2;2,322275788E-1;3,327797353E-1;1,062740421E1
1,744784097E2;1,173108369E-1;3,902381063E-1;1,067289257E1
1,744807720E2;4,788197577E-3;4,333318770E-1;1,067528629E1
1,744831339E2;2,394098788E-2;4,692433476E-1;1,066810417E1
1,744854956E2;1,220990419E-1;4,788197577E-1;1,068965149E1
1,744878577E2;1,843456030E-1;4,644551575E-1;1,066092205E1
1,744902193E2;2,681390643E-1;4,548787773E-1;1,057712841E1
1,744925811E2;3,375679255E-1;4,381200671E-1;1,044066525E1
1,744949434E2;3,662971258E-1;4,117850065E-1;1,028983688E1
1,744973055E2;4,237554967E-1;3,567207158E-1;1,009591484E1
1,744996677E2;4,620610774E-1;3,040505350E-1;9,921145439E0
1,745020293E2;4,955784380E-1;2,346216738E-1;9,736800194E0
1,745043912E2;5,530368090E-1;1,963160932E-1;9,545271873E0
1,745067533E2;5,602191091E-1;1,388577223E-1;9,339379311E0
1,745091148E2;5,027607679E-1;-9,576395154E-3;9,253191948E0
1,745114771E2;6,057069898E-1;-2,633508667E-2;9,289103508E0
1,745138391E2;6,942886710E-1;1,915279031E-2;9,425566673E0
1,745162004E2;6,440125704E-1;8,379346132E-2;9,578789711E0
1,745185623E2;5,793719292E-1;1,604046226E-1;9,765528679E0
1,745209237E2;4,955784380E-1;2,585626841E-1;9,945086479E0
1,745232857E2;3,710853159E-1;3,495384157E-1;1,009591484E1
1,745256477E2;1,843456030E-1;4,381200671E-1;1,016294956E1
1,745280098E2;5,985246971E-2;5,410663486E-1;1,013900852E1
1,745303710E2;-3,351738304E-2;5,697954893E-1;1,005760860E1
1,745327331E2;-1,149167418E-1;6,057069898E-1;9,957056999E0
1,745350952E2;-1,244931370E-1;6,057069898E-1;9,846928596E0
1,745374566E2;-8,858165145E-2;5,745837092E-1;9,732011795E0
1,745398182E2;-2,394098788E-2;5,386722088E-1;9,600336075E0
1,745421797E2;6,703476608E-2;4,668492675E-1;9,437537193E0
1,745445417E2;1,292813420E-1;3,854499161E-1;9,269950867E0
1,745469034E2;1,819515079E-1;3,351738453E-1;9,107151985E0
1,745492651E2;2,489862740E-1;2,944741547E-1;8,975476265E0
1,745516273E2;2,681390643E-1;2,441980839E-1;8,898864746E0
1,745539893E2;2,801095545E-1;2,513803840E-1;8,874924660E0
1,745563519E2;2,920800447E-1;2,585626841E-1;8,891682625E0
1,745587145E2;2,801095545E-1;3,279915452E-1;8,968294144E0
1,745610769E2;2,681390643E-1;3,854499161E-1;9,143063545E0
1,745634389E2;2,609567642E-1;4,764256477E-1;9,305862427E0
1,745658005E2;2,106806934E-1;5,626131892E-1;9,506966591E0
1,745681621E2;1,412518322E-1;6,703476906E-1;9,734405518E0
1,745705237E2;8,618755639E-2;7,876585126E-1;9,976209641E0
1,745728851E2;3,591148183E-2;8,786342740E-1;1,017013168E1
1,745752461E2;2,394098788E-2;9,289103150E-1;1,035447693E1
